Nr	Typ	Rodzaj	Kolor	Cena	Data
481	gorski_sportowy	dziecko	czerwony	1099	2012-02-21
482	gorski_sportowy	damskie	srebrny	1199	2012-02-21
483	rowerki_i_pojazdy	dziecko	srebrny	114	2012-02-22
484	skladany	damskie	czarny	1299	2012-02-22
485	uniwersalny	meskie	srebrny	1049	2012-02-22
486	rowerki_i_pojazdy	dziecko	bialy	309	2012-02-23
487	gorski_rekreacyjny	dziecko	czerwony	499	2012-02-23
488	gorski_rekreacyjny	meskie	niebieski	749	2012-02-23
489	szosowy_wyczynowy	dziecko	fioletowy	1799	2012-02-23
490	skladany	meskie	srebrny	1399	2012-02-24
491	skladany	meskie	niebieski	1399	2012-02-24
492	gorski_rekreacyjny	dziecko	zielony	499	2012-02-25
493	uniwersalny	dziecko	zielony	729	2012-02-25
494	skladany	dziecko	brazowy	649	2012-02-25
495	gorski_rekreacyjny	meskie	niebieski	999	2012-02-25
496	szosowy_wyczynowy	damskie	czarny	2499	2012-02-27
497	skladany	damskie	bialy	1299	2012-02-27
498	gorski_rekreacyjny	damskie	czerwony	1299	2012-02-27
499	gorski_rekreacyjny	meskie	niebieski	899	2012-02-28
500	uniwersalny	dziecko	zielony	499	2012-02-28
501	play-bike	meskie	czerwony	1499	2012-02-28
502	uniwersalny	meskie	bialy	1049	2012-02-28
503	uniwersalny	dziecko	czerwony	729	2012-02-28
504	gorski_sportowy	dziecko	czerwony	949	2012-02-28
505	gorski_sportowy	dziecko	srebrny	899	2012-02-29
506	skladany	dziecko	srebrny	799	2012-02-29
507	gorski_sportowy	dziecko	czerwony	849	2012-02-29
508	szosowy_wyczynowy	dziecko	srebrny	1799	2012-02-29
509	gorski_rekreacyjny	dziecko	niebieski	499	2012-02-29
510	gorski_sportowy	meskie	srebrny	1799	2012-03-01
511	play-bike	meskie	niebieski	1799	2012-03-01
512	szosowy_miejski	dziecko	brazowy	899	2012-03-01
513	szosowy_wyczynowy	damskie	czerwony	3599	2012-03-01
514	skladany	dziecko	srebrny	799	2012-03-01
515	gorski_sportowy	damskie	czerwony	1499	2012-03-01
516	uniwersalny	damskie	bialy	1149	2012-03-02
517	gorski_rekreacyjny	damskie	czerwony	799	2012-03-02
518	gorski_sportowy	meskie	srebrny	1799	2012-03-02
519	szosowy_miejski	damskie	bialy	1188	2012-03-02
520	miejski	meskie	czarny	499	2012-03-02
521	rowerki_i_pojazdy	dziecko	czarny	159	2012-03-02
522	gorski_sportowy	dziecko	srebrny	899	2012-03-02
523	szosowy_miejski	damskie	niebieski	1249	2012-03-02
524	uniwersalny	meskie	brazowy	1049	2012-03-02
525	rowerki_i_pojazdy	dziecko	niebieski	122	2012-03-02
526	szosowy_wyczynowy	meskie	bialy	3499	2012-03-03
527	szosowy_wyczynowy	meskie	bialy	4599	2012-03-03
528	skladany	meskie	czarny	1199	2012-03-03
529	uniwersalny	dziecko	srebrny	849	2012-03-03
530	rowerki_i_pojazdy	dziecko	czerwony	309	2012-03-05
531	gorski_sportowy	damskie	rozowy	1199	2012-03-05
532	szosowy_wyczynowy	damskie	czarny	3599	2012-03-05
533	gorski_sportowy	meskie	srebrny	1299	2012-03-05
534	uniwersalny	damskie	bialy	1299	2012-03-05
535	rowerki_i_pojazdy	dziecko	srebrny	269	2012-03-05
536	miejski	meskie	bialy	1269	2012-03-05
537	miejski	meskie	bialy	1269	2012-03-05
538	gorski_sportowy	damskie	czerwony	999	2012-03-06
539	skladany	dziecko	czerwony	799	2012-03-06
540	uniwersalny	dziecko	bialy	729	2012-03-06
541	rowerki_i_pojazdy	dziecko	niebieski	114	2012-03-06
542	gorski_rekreacyjny	meskie	brazowy	749	2012-03-07
543	skladany	damskie	brazowy	1299	2012-03-07
544	gorski_sportowy	meskie	srebrny	2099	2012-03-07
545	gorski_sportowy	damskie	srebrny	1199	2012-03-07
546	szosowy_miejski	dziecko	bialy	899	2012-03-07
547	miejski	damskie	czerwony	1499	2012-03-07
548	szosowy_wyczynowy	meskie	brazowy	3449	2012-03-07
549	gorski_rekreacyjny	dziecko	brazowy	499	2012-03-08
550	gorski_sportowy	dziecko	zielony	849	2012-03-08
551	gorski_sportowy	meskie	zielony	1299	2012-03-08
552	uniwersalny	damskie	niebieski	1149	2012-03-08
553	skladany	dziecko	czerwony	799	2012-03-09
554	miejski	meskie	niebieski	1899	2012-03-09
555	miejski	meskie	brazowy	499	2012-03-09
556	gorski_sportowy	meskie	zielony	1799	2012-03-09
557	uniwersalny	dziecko	niebieski	729	2012-03-09
558	rowerki_i_pojazdy	dziecko	czerwony	499	2012-03-10
559	szosowy_miejski	damskie	niebieski	1188	2012-03-10
560	szosowy_wyczynowy	meskie	niebieski	3449	2012-03-10
561	rowerki_i_pojazdy	dziecko	niebieski	159	2012-03-10
562	skladany	damskie	czarny	1399	2012-03-10
563	szosowy_miejski	meskie	czerwony	1399	2012-03-10
564	szosowy_miejski	damskie	niebieski	1249	2012-03-10
565	skladany	dziecko	srebrny	649	2012-03-10
566	gorski_rekreacyjny	dziecko	zielony	499	2012-03-12
567	gorski_rekreacyjny	damskie	niebieski	799	2012-03-12
568	miejski	damskie	bialy	799	2012-03-12
569	szosowy_miejski	meskie	czarny	1399	2012-03-12
570	gorski_rekreacyjny	damskie	bialy	799	2012-03-13
571	skladany	meskie	brazowy	1199	2012-03-13
572	miejski	meskie	niebieski	799	2012-03-13
573	szosowy_miejski	meskie	czarny	1899	2012-03-13
574	szosowy_wyczynowy	dziecko	srebrny	1599	2012-03-14
575	uniwersalny	damskie	czerwony	1149	2012-03-14
576	gorski_rekreacyjny	damskie	brazowy	799	2012-03-14
577	skladany	dziecko	czerwony	649	2012-03-14
578	skladany	meskie	srebrny	1399	2012-03-14
579	skladany	damskie	czerwony	1399	2012-03-15
580	skladany	dziecko	czarny	799	2012-03-15
581	skladany	meskie	bialy	1399	2012-03-15
582	gorski_rekreacyjny	damskie	niebieski	1599	2012-03-16
583	gorski_sportowy	meskie	srebrny	1099	2012-03-16
584	szosowy_wyczynowy	damskie	czerwony	2499	2012-03-16
585	gorski_rekreacyjny	dziecko	brazowy	499	2012-03-17
586	gorski_rekreacyjny	meskie	czerwony	899	2012-03-17
587	skladany	meskie	niebieski	1199	2012-03-17
588	gorski_rekreacyjny	meskie	czerwony	999	2012-03-17
589	szosowy_wyczynowy	damskie	brazowy	3599	2012-03-17
590	szosowy_miejski	meskie	czerwony	1399	2012-03-17
591	gorski_rekreacyjny	dziecko	brazowy	499	2012-03-17
592	rowerki_i_pojazdy	dziecko	niebieski	499	2012-03-19
593	szosowy_wyczynowy	dziecko	brazowy	1599	2012-03-19
594	uniwersalny	meskie	brazowy	999	2012-03-19
595	rowerki_i_pojazdy	dziecko	niebieski	122	2012-03-19
596	rowerki_i_pojazdy	dziecko	niebieski	309	2012-03-19
597	skladany	dziecko	srebrny	799	2012-03-19
598	szosowy_miejski	damskie	bialy	1188	2012-03-20
599	miejski	meskie	srebrny	1399	2012-03-20
600	gorski_sportowy	damskie	rozowy	1499	2012-03-20
601	gorski_sportowy	meskie	srebrny	1799	2012-03-20
602	szosowy_wyczynowy	dziecko	srebrny	1599	2012-03-21
603	szosowy_miejski	damskie	niebieski	1999	2012-03-21
604	gorski_sportowy	damskie	bialy	1999	2012-03-21
605	skladany	damskie	brazowy	1299	2012-03-21
606	uniwersalny	damskie	niebieski	1299	2012-03-22
607	szosowy_wyczynowy	damskie	czarny	2499	2012-03-22
608	skladany	damskie	srebrny	1399	2012-03-22
609	szosowy_wyczynowy	damskie	czerwony	2499	2012-03-22
610	gorski_sportowy	meskie	srebrny	1299	2012-03-22
611	szosowy_miejski	damskie	zielony	1188	2012-03-22
612	uniwersalny	dziecko	brazowy	549	2012-03-23
613	gorski_rekreacyjny	meskie	czerwony	999	2012-03-23
614	szosowy_wyczynowy	dziecko	rozowy	1799	2012-03-23
615	gorski_sportowy	damskie	brazowy	999	2012-03-23
616	szosowy_miejski	meskie	czerwony	1899	2012-03-23
617	skladany	damskie	czarny	1399	2012-03-23
618	miejski	damskie	brazowy	1049	2012-03-23
619	miejski	damskie	czerwony	486	2012-03-24
620	gorski_rekreacyjny	dziecko	brazowy	499	2012-03-24
621	gorski_sportowy	meskie	zielony	2099	2012-03-24
622	szosowy_miejski	damskie	bialy	1249	2012-03-24
623	uniwersalny	dziecko	bialy	499	2012-03-24
624	gorski_sportowy	dziecko	srebrny	949	2012-03-24
625	uniwersalny	damskie	bialy	1299	2012-03-24
626	szosowy_wyczynowy	dziecko	niebieski	1799	2012-03-24
627	uniwersalny	damskie	niebieski	1299	2012-03-24
628	miejski	meskie	niebieski	1399	2012-03-26
629	gorski_sportowy	meskie	niebieski	1299	2012-03-26
630	szosowy_wyczynowy	damskie	rozowy	2499	2012-03-26
631	szosowy_wyczynowy	meskie	brazowy	4599	2012-03-26
632	gorski_sportowy	dziecko	czerwony	1099	2012-03-26
633	miejski	damskie	zielony	486	2012-03-26
634	uniwersalny	meskie	bialy	999	2012-03-26
635	gorski_sportowy	damskie	czarny	999	2012-03-27
636	szosowy_wyczynowy	meskie	zielony	3449	2012-03-27
637	gorski_rekreacyjny	dziecko	zielony	499	2012-03-27
638	szosowy_miejski	meskie	niebieski	2099	2012-03-27
639	uniwersalny	dziecko	czerwony	549	2012-03-27
640	gorski_sportowy	damskie	czarny	1199	2012-03-27
641	szosowy_wyczynowy	dziecko	rozowy	1799	2012-03-27
642	uniwersalny	dziecko	niebieski	499	2012-03-27
643	gorski_rekreacyjny	damskie	brazowy	799	2012-03-28
644	uniwersalny	dziecko	czerwony	729	2012-03-28
645	uniwersalny	dziecko	niebieski	849	2012-03-28
646	miejski	damskie	niebieski	799	2012-03-28
647	miejski	meskie	bialy	499	2012-03-28
648	gorski_sportowy	meskie	srebrny	1799	2012-03-28
649	gorski_rekreacyjny	damskie	zielony	1299	2012-03-28
650	szosowy_miejski	damskie	niebieski	1249	2012-03-28
651	gorski_rekreacyjny	damskie	brazowy	799	2012-03-29
652	gorski_rekreacyjny	dziecko	srebrny	499	2012-03-29
653	uniwersalny	damskie	niebieski	1299	2012-03-29
654	szosowy_wyczynowy	dziecko	czerwony	1599	2012-03-29
655	skladany	damskie	czerwony	1299	2012-03-29
656	gorski_rekreacyjny	meskie	niebieski	899	2012-03-30
657	gorski_sportowy	dziecko	czerwony	949	2012-03-30
658	miejski	meskie	srebrny	1269	2012-03-30
659	miejski	meskie	niebieski	1399	2012-04-02
660	gorski_rekreacyjny	meskie	czerwony	749	2012-04-02
661	uniwersalny	dziecko	srebrny	729	2012-04-02
662	gorski_rekreacyjny	meskie	niebieski	999	2012-04-02
663	miejski	damskie	bialy	2089	2012-04-02
664	miejski	damskie	bialy	1499	2012-04-02
665	gorski_rekreacyjny	dziecko	bialy	499	2012-04-02
666	gorski_rekreacyjny	meskie	zielony	899	2012-04-02
667	gorski_sportowy	dziecko	brazowy	949	2012-04-02
668	szosowy_miejski	dziecko	brazowy	1299	2012-04-03
669	skladany	meskie	brazowy	1399	2012-04-03
670	gorski_rekreacyjny	meskie	zielony	749	2012-04-03
671	skladany	meskie	czarny	1399	2012-04-03
672	miejski	meskie	srebrny	1899	2012-04-03
673	gorski_sportowy	dziecko	czerwony	1099	2012-04-03
674	miejski	meskie	niebieski	1269	2012-04-03
675	szosowy_wyczynowy	meskie	niebieski	3499	2012-04-03
676	uniwersalny	damskie	czarny	1299	2012-04-03
677	rowerki_i_pojazdy	dziecko	srebrny	254	2012-04-04
678	gorski_sportowy	meskie	srebrny	1099	2012-04-04
679	skladany	damskie	czerwony	1299	2012-04-04
680	uniwersalny	dziecko	srebrny	729	2012-04-04
681	rowerki_i_pojazdy	dziecko	bialy	99	2012-04-04
682	uniwersalny	dziecko	czerwony	849	2012-04-04
683	szosowy_wyczynowy	damskie	zielony	2499	2012-04-04
684	rowerki_i_pojazdy	dziecko	niebieski	220	2012-04-04
685	gorski_sportowy	meskie	srebrny	1799	2012-04-04
686	skladany	dziecko	czarny	799	2012-04-05
687	uniwersalny	dziecko	srebrny	549	2012-04-05
688	gorski_sportowy	damskie	czerwony	1499	2012-04-06
689	miejski	damskie	niebieski	486	2012-04-06
690	gorski_sportowy	damskie	czarny	1199	2012-04-06
691	skladany	damskie	czerwony	1299	2012-04-06
692	skladany	meskie	brazowy	1399	2012-04-09
693	rowerki_i_pojazdy	dziecko	niebieski	122	2012-04-09
694	gorski_rekreacyjny	damskie	bialy	849	2012-04-09
695	miejski	damskie	zielony	486	2012-04-09
696	skladany	damskie	czerwony	1299	2012-04-09
697	gorski_sportowy	meskie	czarny	1099	2012-04-09
698	uniwersalny	meskie	brazowy	1049	2012-04-09
699	uniwersalny	meskie	niebieski	999	2012-04-09
700	uniwersalny	meskie	brazowy	999	2012-04-10
701	szosowy_wyczynowy	dziecko	fioletowy	1599	2012-04-10
702	gorski_rekreacyjny	meskie	niebieski	899	2012-04-10
703	gorski_rekreacyjny	meskie	zielony	999	2012-04-10
704	szosowy_miejski	damskie	niebieski	1188	2012-04-10
705	gorski_sportowy	dziecko	niebieski	899	2012-04-10
706	gorski_rekreacyjny	dziecko	srebrny	499	2012-04-10
707	uniwersalny	damskie	brazowy	1149	2012-04-11
708	uniwersalny	damskie	czerwony	1149	2012-04-11
709	szosowy_wyczynowy	damskie	zielony	3599	2012-04-11
710	szosowy_wyczynowy	meskie	brazowy	4599	2012-04-11
711	skladany	meskie	srebrny	1199	2012-04-11
712	szosowy_wyczynowy	dziecko	niebieski	1599	2012-04-11
713	gorski_rekreacyjny	meskie	zielony	999	2012-04-11
714	szosowy_wyczynowy	damskie	niebieski	2499	2012-04-12
715	szosowy_wyczynowy	meskie	bialy	4599	2012-04-12
716	gorski_rekreacyjny	meskie	zielony	999	2012-04-12
717	skladany	dziecko	niebieski	649	2012-04-12
718	uniwersalny	meskie	srebrny	1049	2012-04-12
719	szosowy_miejski	damskie	srebrny	1999	2012-04-12
720	gorski_rekreacyjny	damskie	brazowy	1299	2012-04-12
721	gorski_rekreacyjny	dziecko	niebieski	499	2012-04-12
722	skladany	damskie	srebrny	1299	2012-04-12
723	skladany	dziecko	niebieski	649	2012-04-12
724	uniwersalny	dziecko	brazowy	849	2012-04-12
725	uniwersalny	meskie	bialy	1049	2012-04-13
726	uniwersalny	dziecko	niebieski	729	2012-04-13
727	szosowy_miejski	damskie	bialy	1188	2012-04-13
728	uniwersalny	damskie	czerwony	1299	2012-04-13
729	rowerki_i_pojazdy	dziecko	srebrny	114	2012-04-14
730	gorski_rekreacyjny	dziecko	zielony	399	2012-04-14
731	szosowy_wyczynowy	damskie	czerwony	2499	2012-04-14
732	szosowy_wyczynowy	damskie	srebrny	2499	2012-04-14
733	gorski_rekreacyjny	meskie	niebieski	899	2012-04-14
734	play-bike	dziecko	fioletowy	699	2012-04-14
735	skladany	damskie	srebrny	1399	2012-04-14
736	skladany	meskie	zielony	1199	2012-04-14
737	miejski	damskie	czerwony	799	2012-04-14
738	gorski_sportowy	meskie	srebrny	1799	2012-04-14
739	gorski_sportowy	damskie	bialy	999	2012-04-16
740	szosowy_miejski	meskie	czarny	2099	2012-04-16
741	gorski_rekreacyjny	damskie	zielony	799	2012-04-16
742	gorski_rekreacyjny	meskie	srebrny	749	2012-04-16
743	uniwersalny	damskie	zielony	1149	2012-04-16
744	gorski_sportowy	dziecko	bialy	949	2012-04-16
745	skladany	meskie	srebrny	1399	2012-04-16
746	uniwersalny	damskie	czerwony	1149	2012-04-16
747	szosowy_wyczynowy	damskie	czerwony	2499	2012-04-16
748	gorski_rekreacyjny	damskie	brazowy	799	2012-04-17
749	uniwersalny	damskie	czerwony	1299	2012-04-17
750	uniwersalny	damskie	fioletowy	1299	2012-04-17
751	gorski_rekreacyjny	meskie	niebieski	899	2012-04-17
752	uniwersalny	damskie	brazowy	1299	2012-04-17
753	szosowy_miejski	damskie	niebieski	1249	2012-04-17
754	szosowy_wyczynowy	dziecko	srebrny	1799	2012-04-18
755	miejski	meskie	bialy	799	2012-04-18
756	gorski_rekreacyjny	damskie	czerwony	799	2012-04-18
757	gorski_rekreacyjny	meskie	bialy	999	2012-04-18
758	miejski	meskie	bialy	799	2012-04-18
759	gorski_rekreacyjny	damskie	czerwony	799	2012-04-18
760	gorski_rekreacyjny	dziecko	brazowy	399	2012-04-19
761	gorski_sportowy	meskie	srebrny	1299	2012-04-19
762	szosowy_miejski	damskie	zielony	1188	2012-04-19
763	uniwersalny	meskie	srebrny	1049	2012-04-19
764	skladany	damskie	niebieski	1399	2012-04-19
765	skladany	dziecko	czerwony	649	2012-04-19
766	gorski_rekreacyjny	dziecko	niebieski	399	2012-04-19
767	szosowy_miejski	damskie	niebieski	1249	2012-04-19
768	skladany	damskie	fioletowy	1299	2012-04-20
769	skladany	meskie	srebrny	1199	2012-04-20
770	gorski_sportowy	meskie	srebrny	2099	2012-04-20
771	uniwersalny	meskie	srebrny	999	2012-04-20
772	gorski_sportowy	dziecko	bialy	899	2012-04-20
773	gorski_sportowy	dziecko	czerwony	849	2012-04-20
774	gorski_sportowy	dziecko	bialy	899	2012-04-20
775	skladany	meskie	brazowy	1399	2012-04-20
776	rowerki_i_pojazdy	dziecko	niebieski	309	2012-04-20
777	szosowy_wyczynowy	damskie	zielony	3599	2012-04-20
778	skladany	damskie	rozowy	1399	2012-04-21
779	szosowy_wyczynowy	dziecko	fioletowy	1599	2012-04-21
780	skladany	damskie	czarny	1399	2012-04-21
781	gorski_sportowy	dziecko	czerwony	849	2012-04-21
782	gorski_sportowy	meskie	czarny	1299	2012-04-21
783	szosowy_wyczynowy	dziecko	czerwony	1799	2012-04-23
784	rowerki_i_pojazdy	dziecko	bialy	159	2012-04-23
785	szosowy_wyczynowy	dziecko	srebrny	1799	2012-04-23
786	uniwersalny	meskie	brazowy	1049	2012-04-23
787	uniwersalny	damskie	bialy	1299	2012-04-23
788	rowerki_i_pojazdy	dziecko	czerwony	122	2012-04-23
789	gorski_rekreacyjny	meskie	srebrny	999	2012-04-24
790	szosowy_wyczynowy	dziecko	rozowy	1799	2012-04-24
791	uniwersalny	meskie	niebieski	999	2012-04-24
792	gorski_sportowy	meskie	niebieski	1799	2012-04-25
793	szosowy_wyczynowy	damskie	czerwony	3599	2012-04-25
794	skladany	meskie	srebrny	1199	2012-04-25
795	gorski_rekreacyjny	meskie	zielony	899	2012-04-25
796	gorski_sportowy	meskie	srebrny	1099	2012-04-25
797	gorski_rekreacyjny	damskie	czerwony	799	2012-04-25
798	szosowy_miejski	meskie	srebrny	1399	2012-04-25
799	uniwersalny	damskie	brazowy	1299	2012-04-25
800	gorski_sportowy	meskie	srebrny	1099	2012-04-25
801	szosowy_miejski	damskie	bialy	1188	2012-04-26
802	szosowy_miejski	damskie	niebieski	1999	2012-04-26
803	skladany	dziecko	czerwony	799	2012-04-26
804	szosowy_wyczynowy	damskie	zielony	2499	2012-04-26
805	szosowy_wyczynowy	damskie	niebieski	3599	2012-04-26
806	skladany	meskie	brazowy	1199	2012-04-26
807	uniwersalny	damskie	niebieski	1149	2012-04-26
808	gorski_rekreacyjny	damskie	zielony	799	2012-04-26
809	gorski_rekreacyjny	dziecko	zielony	399	2012-04-26
810	gorski_sportowy	dziecko	niebieski	949	2012-04-27
811	uniwersalny	damskie	srebrny	1149	2012-04-27
812	uniwersalny	meskie	srebrny	999	2012-04-27
813	rowerki_i_pojazdy	dziecko	czerwony	309	2012-04-27
814	uniwersalny	damskie	zielony	1299	2012-04-27
815	miejski	damskie	niebieski	1499	2012-04-27
816	miejski	meskie	bialy	499	2012-04-27
817	skladany	dziecko	bialy	649	2012-04-28
818	gorski_rekreacyjny	dziecko	niebieski	399	2012-04-28
819	skladany	meskie	niebieski	1199	2012-04-28
820	gorski_sportowy	meskie	srebrny	1799	2012-04-28
821	gorski_rekreacyjny	damskie	srebrny	799	2012-04-28
822	szosowy_miejski	dziecko	bialy	999	2012-04-28
823	szosowy_wyczynowy	meskie	bialy	3499	2012-04-30
824	gorski_sportowy	meskie	zielony	1299	2012-04-30
825	uniwersalny	damskie	czerwony	1149	2012-04-30
826	gorski_sportowy	dziecko	czarny	1099	2012-04-30
827	uniwersalny	dziecko	zielony	499	2012-04-30
828	gorski_sportowy	damskie	srebrny	1199	2012-04-30
829	gorski_rekreacyjny	damskie	srebrny	849	2012-04-30
830	szosowy_miejski	meskie	srebrny	1899	2012-05-02
831	gorski_sportowy	damskie	czarny	1499	2012-05-02
832	szosowy_wyczynowy	damskie	czerwony	2499	2012-05-02
833	miejski	meskie	niebieski	1269	2012-05-02
834	gorski_sportowy	dziecko	niebieski	949	2012-05-02
835	miejski	damskie	niebieski	799	2012-05-02
836	rowerki_i_pojazdy	dziecko	niebieski	269	2012-05-02
837	skladany	damskie	niebieski	1299	2012-05-02
838	gorski_sportowy	dziecko	niebieski	949	2012-05-04
839	gorski_sportowy	dziecko	czerwony	1099	2012-05-04
840	uniwersalny	dziecko	rozowy	729	2012-05-04
841	szosowy_miejski	damskie	bialy	1188	2012-05-04
842	uniwersalny	meskie	niebieski	1049	2012-05-04
843	skladany	dziecko	srebrny	799	2012-05-04
844	miejski	meskie	niebieski	1269	2012-05-04
845	gorski_rekreacyjny	damskie	czerwony	849	2012-05-04
846	skladany	dziecko	srebrny	799	2012-05-05
847	gorski_sportowy	dziecko	srebrny	899	2012-05-05
848	gorski_rekreacyjny	damskie	brazowy	799	2012-05-05
849	gorski_sportowy	damskie	czerwony	1999	2012-05-05
850	gorski_rekreacyjny	meskie	niebieski	749	2012-05-05
851	szosowy_wyczynowy	damskie	czarny	2499	2012-05-05
852	gorski_rekreacyjny	damskie	zielony	1299	2012-05-05
853	gorski_rekreacyjny	dziecko	brazowy	399	2012-05-05
854	gorski_sportowy	meskie	srebrny	2099	2012-05-05
855	szosowy_miejski	damskie	czerwony	1999	2012-05-07
856	miejski	damskie	bialy	1049	2012-05-07
857	gorski_sportowy	dziecko	niebieski	1099	2012-05-07
858	skladany	damskie	zielony	1299	2012-05-07
859	miejski	damskie	bialy	486	2012-05-07
860	miejski	meskie	bialy	1899	2012-05-07
861	szosowy_miejski	meskie	czarny	1399	2012-05-07
862	rowerki_i_pojazdy	dziecko	srebrny	114	2012-05-07
863	uniwersalny	damskie	rozowy	1149	2012-05-07
864	miejski	damskie	brazowy	486	2012-05-07
865	gorski_sportowy	dziecko	czerwony	949	2012-05-08
866	szosowy_miejski	meskie	zielony	2099	2012-05-08
867	miejski	damskie	bialy	799	2012-05-08
868	szosowy_wyczynowy	dziecko	brazowy	1799	2012-05-08
869	szosowy_wyczynowy	dziecko	brazowy	1599	2012-05-08
870	gorski_sportowy	dziecko	srebrny	849	2012-05-08
871	uniwersalny	dziecko	brazowy	849	2012-05-08
872	uniwersalny	meskie	brazowy	1049	2012-05-08
873	rowerki_i_pojazdy	dziecko	rozowy	499	2012-05-08
874	gorski_sportowy	damskie	niebieski	999	2012-05-08
875	szosowy_miejski	meskie	srebrny	1399	2012-05-09
876	gorski_rekreacyjny	dziecko	bialy	499	2012-05-09
877	szosowy_wyczynowy	damskie	czerwony	2499	2012-05-09
878	szosowy_wyczynowy	damskie	czerwony	2499	2012-05-09
879	skladany	damskie	czerwony	1299	2012-05-09
880	gorski_rekreacyjny	dziecko	brazowy	499	2012-05-09
881	szosowy_miejski	meskie	czerwony	1899	2012-05-09
882	szosowy_miejski	meskie	brazowy	1899	2012-05-09
883	szosowy_wyczynowy	dziecko	srebrny	1599	2012-05-09
884	szosowy_miejski	meskie	czarny	2099	2012-05-10
885	szosowy_wyczynowy	meskie	brazowy	3499	2012-05-10
886	szosowy_miejski	meskie	srebrny	1399	2012-05-10
887	miejski	meskie	srebrny	499	2012-05-10
888	miejski	damskie	bialy	2089	2012-05-10
889	szosowy_miejski	dziecko	niebieski	999	2012-05-10
890	szosowy_wyczynowy	damskie	niebieski	3599	2012-05-10
891	szosowy_miejski	damskie	niebieski	1249	2012-05-10
892	skladany	damskie	zielony	1299	2012-05-11
893	uniwersalny	dziecko	czerwony	729	2012-05-11
894	gorski_sportowy	damskie	czarny	999	2012-05-11
895	skladany	damskie	rozowy	1299	2012-05-11
896	szosowy_wyczynowy	damskie	srebrny	2499	2012-05-11
897	skladany	dziecko	srebrny	799	2012-05-11
898	gorski_rekreacyjny	damskie	bialy	799	2012-05-11
899	szosowy_wyczynowy	damskie	bialy	2499	2012-05-11
900	szosowy_wyczynowy	meskie	czarny	4599	2012-05-12
901	szosowy_miejski	damskie	niebieski	1188	2012-05-12
902	miejski	damskie	niebieski	1499	2012-05-12
903	szosowy_wyczynowy	damskie	czerwony	2499	2012-05-12
904	szosowy_wyczynowy	damskie	czerwony	2499	2012-05-12
905	szosowy_miejski	meskie	srebrny	1399	2012-05-14
906	szosowy_miejski	meskie	srebrny	1899	2012-05-14
907	skladany	meskie	srebrny	1399	2012-05-14
908	gorski_sportowy	meskie	zielony	1299	2012-05-14
909	szosowy_wyczynowy	damskie	niebieski	3599	2012-05-14
910	rowerki_i_pojazdy	dziecko	srebrny	159	2012-05-14
911	szosowy_miejski	damskie	bialy	1999	2012-05-14
912	uniwersalny	meskie	srebrny	1049	2012-05-14
913	gorski_rekreacyjny	damskie	zielony	1599	2012-05-14
914	skladany	meskie	zielony	1199	2012-05-14
915	rowerki_i_pojazdy	dziecko	srebrny	499	2012-05-14
916	gorski_rekreacyjny	damskie	bialy	799	2012-05-15
917	skladany	damskie	czerwony	1399	2012-05-15
918	uniwersalny	meskie	srebrny	1049	2012-05-15
919	gorski_rekreacyjny	damskie	czerwony	799	2012-05-15
920	gorski_rekreacyjny	meskie	czerwony	999	2012-05-15
921	gorski_sportowy	meskie	srebrny	1799	2012-05-15
922	szosowy_wyczynowy	meskie	czarny	4599	2012-05-15
923	gorski_sportowy	meskie	srebrny	1099	2012-05-15
924	gorski_rekreacyjny	dziecko	czerwony	499	2012-05-16
925	gorski_rekreacyjny	dziecko	czerwony	499	2012-05-16
926	skladany	meskie	srebrny	1399	2012-05-16
927	szosowy_miejski	dziecko	zielony	899	2012-05-16
928	uniwersalny	meskie	czarny	1049	2012-05-17
929	gorski_sportowy	dziecko	zielony	949	2012-05-17
930	gorski_rekreacyjny	meskie	niebieski	899	2012-05-17
931	szosowy_miejski	meskie	czerwony	1399	2012-05-17
932	miejski	damskie	zielony	1499	2012-05-17
933	gorski_sportowy	damskie	srebrny	1199	2012-05-17
934	skladany	dziecko	czerwony	649	2012-05-17
935	szosowy_wyczynowy	damskie	srebrny	3599	2012-05-17
936	szosowy_miejski	damskie	czerwony	1188	2012-05-17
937	szosowy_wyczynowy	dziecko	srebrny	1599	2012-05-17
938	szosowy_wyczynowy	damskie	czerwony	2499	2012-05-17
939	uniwersalny	meskie	brazowy	999	2012-05-17
940	uniwersalny	meskie	niebieski	999	2012-05-17
941	skladany	damskie	czarny	1399	2012-05-17
942	skladany	dziecko	czerwony	649	2012-05-17
943	szosowy_miejski	damskie	niebieski	1999	2012-05-18
944	skladany	dziecko	czerwony	649	2012-05-18
945	skladany	dziecko	niebieski	799	2012-05-18
946	gorski_rekreacyjny	damskie	brazowy	799	2012-05-18
947	uniwersalny	meskie	niebieski	1049	2012-05-18
948	gorski_rekreacyjny	damskie	czarny	799	2012-05-18
949	rowerki_i_pojazdy	dziecko	niebieski	122	2012-05-18
950	gorski_rekreacyjny	damskie	czarny	1599	2012-05-18
951	uniwersalny	damskie	czarny	1299	2012-05-18
952	gorski_rekreacyjny	damskie	brazowy	799	2012-05-19
953	miejski	damskie	niebieski	2089	2012-05-19
954	rowerki_i_pojazdy	dziecko	srebrny	309	2012-05-19
955	uniwersalny	dziecko	czerwony	729	2012-05-19
956	gorski_rekreacyjny	damskie	srebrny	799	2012-05-19
957	gorski_rekreacyjny	dziecko	bialy	499	2012-05-19
